AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CanonicalUrl,ControlStatement,County,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,Started,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders,resource_intensity,suppression_power,containment_efficiency
257314.0,False,Stanislaus National Forest/Yosemite National Park,2.0,0,/incidents/2013/8/17/rim-fire/,All road closures have been lifted.,55,55,6.0,2.0,11.0,2013-09-06T18:30:00Z,3.0,False,True,Grass,2.0,3.0,37.857,3 miles east of Groveland along Hwy 120,-120.086,False,Rim Fire,100.0,151.5,True,The Rim Fire was east of Groveland along Highway 20.,2013-08-17T15:25:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
30274.0,False,USFS Angeles National Forest/Los Angeles County/CAL FIRE,2.0,0,/incidents/2013/5/30/powerhouse-fire/,All road closures have been lifted.,17,19,6.0,2.0,11.0,2013-06-08T18:30:00Z,3.0,False,True,Grass,2.0,3.0,34.585595,Angeles National Forest,-118.423176,False,Powerhouse Fire,100.0,151.5,True,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,2013-05-30T15:28:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
27531.0,False,CAL FIRE Riverside Unit / San Bernardino National Forest,2.0,0,/incidents/2013/7/15/mountain-fire/,All road closures have been lifted.,32,33,6.0,2.0,11.0,2013-07-30T18:00:00Z,3.0,False,True,Grass,2.0,3.0,33.7095,Hwy 243 & Hwy 74 near Mountain Center,-116.72885,False,Mountain Fire,100.0,151.5,True,The Mountain Fire burned in July 2013 off Highway 243 and Highway 74 near Mountain Center in Riverside County on the San Bernardino National Forest. ,2013-07-15T13:43:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
27440.0,False,Tahoe National Forest,2.0,0,/incidents/2013/8/10/american-fire/,All road closures have been lifted.,30,31,6.0,2.0,11.0,2013-08-30T08:00:00Z,3.0,False,True,Grass,2.0,3.0,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,False,American Fire,100.0,151.5,True,"The American Fire burned in August 2013 off Deadwood Ridge, northeast of Foresthill on the Tahoe National Forest in Placer County. ",2013-08-10T16:30:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
24251.0,False,Ventura County Fire/CAL FIRE,2.0,0,/incidents/2013/5/2/springs-fire/,All road closures have been lifted.,56,56,47.0,8.0,117.0,2013-05-11T06:30:00Z,3.0,False,True,Grass,11.0,10.0,0.0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",0.0,True,Springs Fire,100.0,2167.0,True,"The Springs Fire burned in May 2013, Southbound Highway 101 at Camarillo Springs Road, Camarillo, in Ventura County. ",2013-05-02T07:01:00Z,6.0,10.0,0.0,45.0,11.0,18.364406779661017,19.0,0.046125461254612546
22992.0,False,Sierra National Forest,2.0,0,/incidents/2013/7/22/aspen-fire/,All road closures have been lifted.,9,10,6.0,2.0,11.0,2013-09-24T20:15:00Z,3.0,False,True,Grass,2.0,3.0,37.279,Seven miles north of Big Creek,-119.318,False,Aspen Fire,100.0,151.5,True,The Aspen Fire burned in July 2013 seven miles north of Big Creek on the Sierra National Forest in Fresno County.,2013-07-22T22:15:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
20292.0,False,CAL FIRE Riverside Unit / San Bernardino National Forest,2.0,0,/incidents/2013/8/7/silver-fire/,Hwy 243 remains closed between Twin Pines Road and Westley Street in Banning due to road damage.,32,33,63.0,20.0,201.0,2013-08-12T18:00:00Z,3.0,False,True,Grass,20.0,26.0,33.86157,"Poppet Flats Rd near Hwy 243, south of Banning",-116.90427,True,Silver Fire,100.0,2106.0,True,"The Silver Fire burned in August 2013 off Poppet Flats Rd near Hwy 243, south of Banning in Riverside County. ",2013-08-07T14:05:00Z,8.0,40.0,0.0,45.0,20.0,10.425742574257425,40.0,0.04746084480303749
14754.0,False,Klamath National Forest,2.0,0,/incidents/2013/7/31/salmon-river-complex/,All road closures have been lifted.,45,47,6.0,2.0,11.0,2013-08-31T06:45:00Z,3.0,False,True,Grass,2.0,3.0,41.32,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",-123.176,False,Salmon River Complex,100.0,151.5,True,"The Salmon River Complex burned in July and August 2013 near North Fork of the Salmon River, West of Sawyers Bar, on Klamath National Forest in Siskiyou County. ",2013-07-31T22:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
12503.0,False,Six Rivers National Forest,2.0,0,/incidents/2013/8/10/corral-complex/,All road closures have been lifted.,11,12,6.0,2.0,11.0,2013-08-12T12:00:00Z,3.0,False,True,Grass,2.0,3.0,41.035,Tish Tang Ridge east of Hoopa Valley Reservation,-123.488,False,Corral Complex,100.0,151.5,True,The Corral Complex burned in August 2013 off Tish Tang Ridge east of Hoopa Valley Reservation on the Six Rivers National Forest in Humboldt County. ,2013-08-10T11:40:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
11429.0,False,CAL FIRE Tehama-Glenn Unit,2.0,0,/incidents/2013/8/23/deer-fire/,All road closures have been lifted.,52,52,30.0,3.0,36.0,2013-08-29T16:45:00Z,3.0,False,True,Grass,5.0,5.0,40.04263,"Near Deer Creek, 12 miles east of Los Molinos. ",-121.85397,True,Deer Fire,100.0,898.0,True,"The Deer Fire burned in August near Deer Creek, 12 miles east of Los Molinos in Tehama County. ",2013-08-23T14:15:00Z,6.0,7.0,0.0,45.0,8.0,24.27027027027027,8.0,0.11123470522803114
